epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4935,1.81464,4.41427,1.50916,0.70562,0.66519,0.78123,0.38579,1.45316,1.62685,1.18344,0.000545564,0.000545564,0.000545564
2,43.5402,1.65863,1.36135,1.31171,0.85124,0.89278,0.88186,0.41673,1.52943,2.09786,1.36937,0.00108306,0.00108306,0.00108306
3,62.6396,1.67464,1.1609,1.3189,0.9423,0.43816,0.87245,0.44775,1.42842,5.37395,1.37282,0.00160222,0.00160222,0.00160222
4,84.1625,1.63907,1.1522,1.28058,0.70117,0.54286,0.62172,0.29255,2.04648,3.22665,1.50239,0.00158448,0.00158448,0.00158448
5,104.813,1.59597,1.05404,1.26554,0.84654,0.80074,0.91855,0.44406,1.55045,2.01941,1.40639,0.00155698,0.00155698,0.00155698
6,126.466,1.55085,1.01725,1.23644,0.56802,0.71894,0.66353,0.21943,1.95688,3.24488,1.49434,0.00152947,0.00152947,0.00152947
7,147.08,1.52935,0.98762,1.22875,0.7774,0.84642,0.88114,0.44563,1.41438,1.79637,1.2095,0.00150197,0.00150197,0.00150197
8,168.328,1.51501,0.94081,1.19383,0.72577,0.82931,0.91534,0.47048,1.35222,2.38274,1.15642,0.00147446,0.00147446,0.00147446
9,187.885,1.48339,0.88797,1.19169,0.86864,0.94286,0.96235,0.52061,1.29399,0.81788,1.20228,0.00144696,0.00144696,0.00144696
10,209.885,1.44812,0.87446,1.18376,0.81677,0.941,0.94896,0.51554,1.07829,1.08104,1.05875,0.00141945,0.00141945,0.00141945
11,229.51,1.39405,0.82336,1.14627,0.96268,0.92857,0.97039,0.53888,1.34971,0.59164,1.09172,0.00139195,0.00139195,0.00139195
12,248.472,1.37987,0.80187,1.15561,0.91976,0.958,0.96108,0.49948,1.37528,0.77498,1.20336,0.00136444,0.00136444,0.00136444
13,268.686,1.39545,0.78744,1.14168,0.95655,0.97418,0.99057,0.53456,1.12735,0.65248,1.0556,0.00133693,0.00133693,0.00133693
14,287.803,1.32944,0.77406,1.13035,0.96274,0.98571,0.97217,0.54351,1.1132,0.55706,1.03726,0.00130943,0.00130943,0.00130943
15,307.122,1.28693,0.71729,1.1109,0.94231,0.9869,0.99264,0.53811,1.34003,0.55753,1.14532,0.00128192,0.00128192,0.00128192
16,328.029,1.27766,0.73456,1.1018,0.92544,0.94672,0.99104,0.55262,1.13072,0.98227,1.10152,0.00125442,0.00125442,0.00125442
17,346.751,1.29496,0.74779,1.12153,0.96703,0.98571,0.97503,0.56937,1.17405,0.60182,1.06983,0.00122691,0.00122691,0.00122691
18,366.364,1.25213,0.70736,1.10022,0.95766,0.94573,0.97734,0.51908,1.22308,0.65788,1.1347,0.00119941,0.00119941,0.00119941
19,386.671,1.26551,0.71867,1.09711,0.979,0.98571,0.99069,0.56883,1.13316,0.59017,1.03624,0.0011719,0.0011719,0.0011719
20,405.873,1.2571,0.71108,1.08195,0.96644,0.98571,0.98256,0.55501,1.11487,0.51463,1.03709,0.0011444,0.0011444,0.0011444
21,427.898,1.23571,0.68367,1.0815,0.95851,0.97143,0.98388,0.56889,0.98457,0.4719,0.99611,0.00111689,0.00111689,0.00111689
22,446.969,1.18313,0.65312,1.05789,0.96141,0.95066,0.96601,0.57729,1.02192,0.48003,0.97209,0.00108938,0.00108938,0.00108938
23,466.081,1.19895,0.66115,1.0807,0.97753,0.98571,0.9766,0.56926,1.02609,0.46515,0.97345,0.00106188,0.00106188,0.00106188
24,486.292,1.19123,0.67737,1.07342,0.97939,1,0.995,0.57205,1.04268,0.46869,0.98664,0.00103437,0.00103437,0.00103437
25,505.196,1.11534,0.62145,1.04076,0.99309,1,0.995,0.60137,1.00226,0.49744,1.00445,0.00100687,0.00100687,0.00100687
26,524.222,1.15279,0.6309,1.05419,0.97954,0.98539,0.98371,0.56648,1.02122,0.47646,0.98375,0.000979362,0.000979362,0.000979362
27,544.364,1.13255,0.62774,1.04319,0.99116,1,0.995,0.59771,1.01681,0.40845,1.03408,0.000951857,0.000951857,0.000951857
28,563.284,1.11779,0.61275,1.03604,0.94632,0.97143,0.95597,0.59457,0.98067,0.4751,0.98642,0.000924352,0.000924352,0.000924352
29,581.899,1.1155,0.62322,1.02658,0.97422,0.97143,0.96702,0.59442,1.04442,0.47801,1.06313,0.000896846,0.000896846,0.000896846
30,602.103,1.10573,0.60085,1.03274,0.99117,1,0.995,0.58672,1.00809,0.43854,0.97694,0.00086934,0.00086934,0.00086934
31,621.218,1.09831,0.59506,1.03511,0.97411,1,0.99431,0.55875,0.98617,0.45285,0.98525,0.000841835,0.000841835,0.000841835
32,640.353,1.10285,0.5919,1.04308,0.99219,1,0.995,0.60462,0.95163,0.44526,0.98814,0.000814329,0.000814329,0.000814329
33,660.381,1.05989,0.55564,1.00777,0.99527,1,0.995,0.58936,1.02932,0.46563,0.99516,0.000786824,0.000786824,0.000786824
34,679.495,1.07264,0.58298,1.01478,0.97807,0.98571,0.98534,0.55993,0.93745,0.41543,0.93841,0.000759318,0.000759318,0.000759318
35,699.476,1.0486,0.56848,1.01495,0.97398,0.98571,0.98619,0.59797,1.0004,0.44841,0.98237,0.000731813,0.000731813,0.000731813
36,719.053,1.03524,0.54854,1.00282,0.96199,0.97143,0.95717,0.60021,1.05137,0.41827,0.98149,0.000704307,0.000704307,0.000704307
37,737.947,1.0425,0.54638,1.01428,0.99233,1,0.995,0.59764,1.0419,0.45714,0.98994,0.000676802,0.000676802,0.000676802
38,758.132,1.022,0.56441,1.00907,0.96524,0.98571,0.98254,0.60339,0.97672,0.44155,0.96042,0.000649297,0.000649297,0.000649297
39,777.565,1.02515,0.54682,1.00513,0.97982,0.98571,0.98479,0.60432,0.88041,0.41335,0.94132,0.000621791,0.000621791,0.000621791
40,796.432,0.99204,0.53603,0.99043,0.97946,0.98525,0.97927,0.61188,0.9577,0.45714,0.95869,0.000594286,0.000594286,0.000594286
41,816.75,0.98669,0.52291,0.97894,0.98011,0.98478,0.98337,0.61196,0.91384,0.41666,0.93973,0.00056678,0.00056678,0.00056678
42,835.809,0.9917,0.51904,0.98664,0.9602,0.97008,0.95514,0.60914,0.9406,0.42079,0.96076,0.000539275,0.000539275,0.000539275
43,854.927,0.97049,0.52828,0.98729,0.97907,0.98571,0.97689,0.59814,0.89393,0.40497,0.92083,0.000511769,0.000511769,0.000511769
44,876.894,0.95737,0.50261,0.98014,0.9809,0.98571,0.9826,0.5978,0.96614,0.40928,0.94437,0.000484263,0.000484263,0.000484263
45,896.3,0.93152,0.49677,0.9738,0.97441,0.98332,0.98117,0.5975,0.96044,0.41354,0.96735,0.000456758,0.000456758,0.000456758
46,918.122,0.92345,0.48407,0.96131,0.9789,0.98571,0.9812,0.59826,0.96839,0.4034,0.95286,0.000429253,0.000429253,0.000429253
47,938.439,0.92691,0.49572,0.96782,0.97947,0.98571,0.97829,0.59974,0.9443,0.40831,0.93969,0.000401747,0.000401747,0.000401747
48,959.013,0.92252,0.4908,0.96837,0.97943,0.98571,0.97957,0.60624,0.9238,0.42658,0.93591,0.000374242,0.000374242,0.000374242
49,979.448,0.92986,0.49794,0.9693,0.97801,0.98571,0.97903,0.601,0.91212,0.38333,0.92862,0.000346736,0.000346736,0.000346736
50,999.04,0.89529,0.47328,0.95583,0.9655,0.97143,0.95028,0.59053,0.92979,0.38811,0.93494,0.000319231,0.000319231,0.000319231
51,1020.99,0.9154,0.43962,0.98585,0.98044,0.98571,0.98054,0.59196,0.93804,0.39944,0.94438,0.000291725,0.000291725,0.000291725
52,1040.26,0.89187,0.43443,0.97025,0.96373,0.97143,0.94844,0.58337,0.91486,0.40409,0.94462,0.00026422,0.00026422,0.00026422
53,1061.79,0.87938,0.42909,0.97662,0.97791,0.98571,0.97838,0.60574,0.9799,0.37761,0.96327,0.000236714,0.000236714,0.000236714
54,1080.73,0.86002,0.41454,0.94993,0.97876,0.98571,0.97588,0.61622,0.95524,0.38261,0.94942,0.000209209,0.000209209,0.000209209
55,1101.11,0.8289,0.40219,0.95316,0.96552,0.97143,0.94926,0.6005,0.96187,0.40375,0.94693,0.000181703,0.000181703,0.000181703
56,1121,0.81879,0.40188,0.93797,0.96613,0.97143,0.9493,0.61623,0.90731,0.38381,0.94068,0.000154198,0.000154198,0.000154198
57,1139.83,0.81611,0.39668,0.94089,0.96487,0.97143,0.9494,0.61156,0.92667,0.37128,0.94113,0.000126692,0.000126692,0.000126692
58,1159.19,0.80249,0.38987,0.93134,0.96536,0.97143,0.94937,0.60289,0.9072,0.3725,0.93476,9.91865e-05,9.91865e-05,9.91865e-05
